symbol,type,direction,strategy,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars_held,size,exit_reason,daily_z,h1_z,h1_atr,vol_percentile,session,hour_utc
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-02-10 14:00:00+00:00,2022-02-11 18:15:00+00:00,116.286,115.875,0.003534389350394728,9,0.5,target,1.6304395310596618,2.8617977380686623,0.1577842741844331,90.0,NY,14
USDJPY,M15_SCALP_LONG,LONG,M15_SCALP,2022-02-17 13:00:00+00:00,2022-02-17 13:30:00+00:00,115.0785,114.8645,-0.0018596001859600066,2,0.5,stop,0.5951232670278142,-2.3768609750869585,0.09320205642192395,95.0,NY,13
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-03-02 16:00:00+00:00,2022-03-07 00:00:00+00:00,115.6555,114.9245,0.006320494918097355,12,0.5,target,-0.9388329035826255,3.219027565893264,0.17109054783005948,100.0,NY,16
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-03-11 09:00:00+00:00,2022-03-14 10:00:00+00:00,117.0265,117.959,-0.007968280688562032,4,0.5,stop,2.0613954291425354,3.719726882203255,0.17390840364517232,100.0,LONDON,9
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-03-14 10:15:00+00:00,2022-03-16 08:30:00+00:00,117.995,118.33,-0.002839103351836889,13,0.5,timeout,3.2863278626945265,2.3214166826789837,0.27859569476539453,95.0,LONDON,10
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-03-24 17:00:00+00:00,2022-03-28 03:00:00+00:00,122.2885,122.885,-0.004877809442425134,8,0.5,stop,1.896527032541168,2.4610802238029947,0.2637149527463935,70.0,NY,17
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-04-11 09:00:00+00:00,2022-04-13 11:00:00+00:00,125.343,126.012,-0.005337354299801321,12,0.5,stop,1.3467877780089803,3.5512789511069274,0.16304847010994766,100.0,LONDON,9
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-04-15 07:00:00+00:00,2022-04-19 04:00:00+00:00,126.5335,127.8815,-0.010653305251178533,4,0.5,stop,1.6780348901578326,2.6884325612206754,0.28145990185597514,100.0,LONDON,7
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-04-28 17:00:00+00:00,2022-04-29 08:15:00+00:00,131.026,129.84199999999998,0.00903637446003103,5,0.5,target,1.1275211657029045,3.5904455350147266,0.4707461068371701,100.0,NY,17
USDJPY,M15_SCALP_LONG,LONG,M15_SCALP,2022-05-12 14:00:00+00:00,2022-05-13 15:00:00+00:00,128.1465,129.269,0.008759505721966673,8,0.5,target,0.5912123827587132,-3.718328045416245,0.28006397425170976,70.0,NY,14
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-06-08 17:00:00+00:00,2022-06-10 02:15:00+00:00,134.107,133.96550000000002,0.0010551276219733445,13,0.5,timeout,2.3596573785496173,2.2495731947072026,0.45444442235311455,100.0,NY,17
USDJPY,M15_SCALP_LONG,LONG,M15_SCALP,2022-06-16 14:00:00+00:00,2022-06-16 20:00:00+00:00,132.81900000000002,132.1905,-0.004732003704289528,4,0.5,stop,1.1300879051532868,-3.5727240212326357,0.30392636085915514,100.0,NY,14
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-06-29 14:00:00+00:00,2022-06-30 17:00:00+00:00,136.76600000000002,135.64999999999998,0.008159922787827692,4,0.5,target,1.059420828189227,2.2378368134985864,0.2929861701198315,10.0,NY,14
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-07-11 15:00:00+00:00,2022-07-13 19:15:00+00:00,137.3565,137.3135,0.00031305398725219675,13,0.5,timeout,0.9946008855897689,2.112225959361159,0.14285497526289279,30.0,NY,15
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-07-14 10:00:00+00:00,2022-07-18 09:00:00+00:00,138.815,138.1995,0.004433958866116755,12,0.5,target,1.7227947466489868,2.9685059134434755,0.22579408971487416,100.0,LONDON,10
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-07-21 11:00:00+00:00,2022-07-22 02:00:00+00:00,138.68099999999998,137.4665,0.00875750823833104,4,0.5,target,1.3857827145927983,2.6091646770299826,0.1803465740213123,65.0,LONDON,11
USDJPY,M15_SCALP_LONG,LONG,M15_SCALP,2022-07-22 15:00:00+00:00,2022-07-25 18:15:00+00:00,136.175,136.6235,0.0032935560859188224,13,0.5,timeout,0.307523964379396,-3.110516593667704,0.4618298217643164,100.0,NY,15
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-08-26 08:00:00+00:00,2022-08-28 22:00:00+00:00,136.9715,137.8505,-0.00641739339935694,4,0.5,stop,1.1217410701966564,2.1590445432643577,0.144169460309828,45.0,LONDON,8
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-09-06 08:00:00+00:00,2022-09-07 01:00:00+00:00,141.68200000000002,143.10649999999998,-0.010054205897714361,4,0.5,stop,1.5077747575257197,2.162750278870773,0.1582009696334326,60.0,LONDON,8
USDJPY,M15_SCALP_SHORT,SHORT,M15_SCALP,2022-09-21 17:00:00+00:00,2022-09-25 22:00:00+00:00,144.37150000000003,143.37,0.006936964705638033,8,0.5,target,0.9120529588566028,3.42268927015698,0.20900504668747583,50.0,NY,17
USDJPY,M15_SCALP_LONG,LONG,M15_SCALP,2022-10-04 15:00:00+00:00,2022-10-06 01:00:00+00:00,144.3785,144.59500000000003,0.0014995307473067304,8,0.5,target,1.019988397917553,-3.240195096557749,0.08643687090139435,50.0,NY,15
