Datetime,Open,High,Low,Close,Volume
2022-04-26 14:00:00,162.383,162.414,162.145,162.276,1546
2022-04-26 14:15:00,162.276,162.346,161.92,161.972,1525
2022-04-26 14:30:00,161.973,162.024,161.844,161.869,1560
2022-04-26 14:45:00,161.869,162.042,161.741,161.803,1894
2022-04-26 15:00:00,161.797,161.896,161.76,161.807,1867
2022-04-26 15:15:00,161.8,161.832,161.684,161.735,1692
2022-04-26 15:30:00,161.735,161.777,161.437,161.477,2179
2022-04-26 15:45:00,161.477,161.531,161.192,161.31,2240
2022-04-26 16:00:00,161.311,161.503,161.254,161.345,2150
2022-04-26 16:15:00,161.354,161.445,161.133,161.365,2317
2022-04-26 16:30:00,161.363,161.391,161.163,161.163,2683
2022-04-26 16:45:00,161.165,161.32,161.061,161.298,2116
2022-04-26 17:00:00,161.299,161.354,161.18,161.187,2220
2022-04-26 17:15:00,161.181,161.197,161.029,161.19,2179
2022-04-26 17:30:00,161.192,161.205,160.637,160.691,2710
2022-04-26 17:45:00,160.69,160.735,160.462,160.478,2577
2022-04-26 18:00:00,160.482,160.764,160.443,160.645,2378
2022-04-26 18:15:00,160.645,160.855,160.618,160.813,2184
2022-04-26 18:30:00,160.809,160.942,160.769,160.863,1842
2022-04-26 18:45:00,160.863,160.863,160.586,160.675,1549
2022-04-26 19:00:00,160.675,160.855,160.667,160.854,1740
2022-04-26 19:15:00,160.854,160.898,160.802,160.844,1619
2022-04-26 19:30:00,160.844,160.845,160.637,160.753,1289
2022-04-26 19:45:00,160.748,160.826,160.661,160.826,1456
2022-04-26 20:00:00,160.825,160.831,160.606,160.61,1623
2022-04-26 20:15:00,160.61,160.674,160.524,160.611,1180
2022-04-26 20:30:00,160.611,160.676,160.597,160.673,1103
2022-04-26 20:45:00,160.672,160.701,160.578,160.616,1289
2022-04-26 21:00:00,160.615,160.634,160.55,160.619,1350
2022-04-26 21:15:00,160.618,160.761,160.605,160.713,1579
2022-04-26 21:30:00,160.707,160.733,160.636,160.639,1419
2022-04-26 21:45:00,160.638,160.654,160.564,160.588,1417
2022-04-26 22:00:00,160.59,160.691,160.576,160.623,1358
2022-04-26 22:15:00,160.623,160.635,160.491,160.522,1177
2022-04-26 22:30:00,160.521,160.529,160.408,160.484,1199
2022-04-26 22:45:00,160.484,160.493,160.383,160.422,1392
2022-04-26 23:00:00,160.422,160.43,160.173,160.236,1269
2022-04-26 23:15:00,160.236,160.27,160.12,160.12,764
2022-04-26 23:30:00,160.121,160.122,159.962,159.974,834
2022-04-26 23:45:00,159.974,160.026,159.951,159.951,951
2022-04-27 00:00:00,159.963,160.003,159.917,160.003,54
2022-04-27 00:15:00,160.003,160.041,159.915,159.968,102
2022-04-27 00:30:00,159.968,159.986,159.819,159.911,195
2022-04-27 00:45:00,159.911,159.929,159.847,159.882,154
2022-04-27 01:00:00,159.879,159.985,159.599,159.778,645
2022-04-27 01:15:00,159.778,159.858,159.71,159.855,928
2022-04-27 01:30:00,159.856,159.904,159.82,159.826,554
2022-04-27 01:45:00,159.826,159.863,159.776,159.829,472
2022-04-27 02:00:00,159.835,160.083,159.831,159.982,1122
2022-04-27 02:15:00,159.982,160.138,159.976,160.111,749
2022-04-27 02:30:00,160.111,160.17,160.023,160.027,778
2022-04-27 02:45:00,160.027,160.138,159.984,160.097,981
2022-04-27 03:00:00,160.102,160.275,160.077,160.217,1613
2022-04-27 03:15:00,160.217,160.257,160.081,160.102,1593
2022-04-27 03:30:00,160.096,160.208,160.079,160.124,1242
2022-04-27 03:45:00,160.124,160.472,160.113,160.444,1791
2022-04-27 04:00:00,160.436,160.529,160.361,160.378,1540
2022-04-27 04:15:00,160.379,160.542,160.362,160.467,1318
2022-04-27 04:30:00,160.466,160.533,160.304,160.414,2012
2022-04-27 04:45:00,160.413,160.51,160.388,160.403,1443
2022-04-27 05:00:00,160.402,160.427,160.237,160.311,1605
2022-04-27 05:15:00,160.311,160.401,160.267,160.373,1320
2022-04-27 05:30:00,160.373,160.533,160.319,160.523,1225
2022-04-27 05:45:00,160.523,160.736,160.439,160.736,1453
