Datetime,Open,High,Low,Close,Volume
2022-04-26 16:00:00,161.311,161.503,160.443,160.826,33009
2022-04-26 20:00:00,160.825,160.831,159.951,159.951,19904
2022-04-27 00:00:00,159.963,160.472,159.599,160.444,12973
2022-04-27 04:00:00,160.436,160.783,160.237,160.631,20071
2022-04-27 08:00:00,160.63,161.188,160.199,160.418,27940
2022-04-27 12:00:00,160.418,161.249,160.322,160.598,27934
2022-04-27 16:00:00,160.599,161.388,160.314,161.183,33343
2022-04-27 20:00:00,161.186,161.245,160.809,161.091,18891
2022-04-28 00:00:00,161.014,161.459,160.882,161.431,16632
2022-04-28 04:00:00,161.433,162.639,161.218,162.505,24337
2022-04-28 08:00:00,162.505,164.248,162.359,164.126,34873
2022-04-28 12:00:00,164.125,164.25,162.212,162.596,34900
2022-04-28 16:00:00,162.595,163.279,162.443,163.232,36650
2022-04-28 20:00:00,163.231,163.447,162.895,162.928,19108
2022-04-29 00:00:00,162.962,163.25,162.838,163.018,9402
2022-04-29 04:00:00,163.018,163.162,162.893,163.091,15906
2022-04-29 08:00:00,163.091,163.557,162.913,163.313,28753
2022-04-29 12:00:00,163.317,163.996,163.017,163.205,31564
2022-04-29 16:00:00,163.204,163.578,162.402,163.1,34225
2022-04-29 20:00:00,163.1,163.411,162.948,163.239,20602
2022-05-02 00:00:00,163.22,163.89,163.207,163.464,16479
2022-05-02 04:00:00,163.464,163.68,163.322,163.645,14879
2022-05-02 08:00:00,163.644,163.832,163.372,163.496,24530
2022-05-02 12:00:00,163.496,163.534,162.934,163.125,22980
2022-05-02 16:00:00,163.129,163.273,162.654,162.682,31824
2022-05-02 20:00:00,162.686,162.746,162.289,162.622,19439
2022-05-03 00:00:00,162.519,162.78,162.466,162.644,9514
2022-05-03 04:00:00,162.648,163.052,162.561,162.825,11047
2022-05-03 08:00:00,162.825,163.414,162.701,163.176,24333
2022-05-03 12:00:00,163.177,163.208,162.511,163.096,26601
2022-05-03 16:00:00,163.096,163.121,162.497,162.559,30746
2022-05-03 20:00:00,162.558,162.805,162.353,162.61,20773
2022-05-04 00:00:00,162.623,162.72,162.458,162.632,6731
2022-05-04 04:00:00,162.628,162.644,162.419,162.449,8869
2022-05-04 08:00:00,162.449,162.871,162.26,162.756,18620
2022-05-04 12:00:00,162.756,162.793,162.468,162.731,21593
2022-05-04 16:00:00,162.732,162.811,162.18,162.433,28422
2022-05-04 20:00:00,162.434,163.193,161.781,163.088,36017
2022-05-05 00:00:00,162.975,163.569,162.759,162.779,14993
2022-05-05 04:00:00,162.779,162.918,162.098,162.181,18176
2022-05-05 08:00:00,162.185,162.76,162.185,162.721,26471
2022-05-05 12:00:00,162.723,163.176,160.468,160.941,31845
2022-05-05 16:00:00,160.933,161.5,160.722,160.907,36522
2022-05-05 20:00:00,160.907,161.186,160.65,160.849,26227
2022-05-06 00:00:00,160.86,161.477,160.849,161.351,11719
2022-05-06 04:00:00,161.351,161.599,161.173,161.476,18711
2022-05-06 08:00:00,161.476,161.548,160.319,160.965,29300
2022-05-06 12:00:00,160.965,161.3,160.632,161.019,29323
2022-05-06 16:00:00,161.009,161.204,160.387,161.17,41257
