Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-27 00:00:00+00:00,211.10800170898438,211.197998046875,210.8470001220703,210.8719940185547,0,0.0,0.0
2026-01-27 00:15:00+00:00,210.87100219726562,210.97300720214844,210.85800170898438,210.92300415039062,0,0.0,0.0
2026-01-27 00:30:00+00:00,210.92999267578125,210.92999267578125,210.8040008544922,210.88600158691406,0,0.0,0.0
2026-01-27 00:45:00+00:00,210.88600158691406,210.99400329589844,210.76499938964844,210.96099853515625,0,0.0,0.0
2026-01-27 01:00:00+00:00,210.9499969482422,211.10699462890625,210.91799926757812,210.99899291992188,0,0.0,0.0
2026-01-27 01:15:00+00:00,210.9969940185547,211.04800415039062,210.9550018310547,211.0260009765625,0,0.0,0.0
2026-01-27 01:30:00+00:00,211.0260009765625,211.1439971923828,210.9980010986328,211.05299377441406,0,0.0,0.0
2026-01-27 01:45:00+00:00,211.0489959716797,211.1439971923828,211.0229949951172,211.13800048828125,0,0.0,0.0
2026-01-27 02:00:00+00:00,211.13499450683594,211.18499755859375,211.06100463867188,211.16000366210938,0,0.0,0.0
2026-01-27 02:15:00+00:00,211.1479949951172,211.23199462890625,211.1060028076172,211.17300415039062,0,0.0,0.0
2026-01-27 02:30:00+00:00,211.1739959716797,211.20599365234375,211.093994140625,211.11399841308594,0,0.0,0.0
2026-01-27 02:45:00+00:00,211.11599731445312,211.2760009765625,211.1020050048828,211.26400756835938,0,0.0,0.0
2026-01-27 03:00:00+00:00,211.26400756835938,211.28700256347656,211.1820068359375,211.2469940185547,0,0.0,0.0
2026-01-27 03:15:00+00:00,211.24200439453125,211.34800720214844,211.23599243164062,211.32699584960938,0,0.0,0.0
2026-01-27 03:30:00+00:00,211.31500244140625,211.3990020751953,211.22799682617188,211.3990020751953,0,0.0,0.0
2026-01-27 03:45:00+00:00,211.39500427246094,211.4080047607422,211.25599670410156,211.2830047607422,0,0.0,0.0
