Datetime,Open,High,Low,Close,Volume
2022-04-26 16:00:00,1.26804,1.26977,1.26003,1.26114,21652
2022-04-26 20:00:00,1.26114,1.26142,1.25711,1.25749,10815
2022-04-27 00:00:00,1.25732,1.25874,1.25598,1.25809,4946
2022-04-27 04:00:00,1.25807,1.25917,1.25743,1.25848,9387
2022-04-27 08:00:00,1.25847,1.25976,1.25359,1.25381,16175
2022-04-27 12:00:00,1.25379,1.26019,1.25269,1.25419,15342
2022-04-27 16:00:00,1.25417,1.25788,1.25024,1.25674,19871
2022-04-27 20:00:00,1.25674,1.25691,1.25353,1.25455,10819
2022-04-28 00:00:00,1.25383,1.25468,1.25265,1.25323,5549
2022-04-28 04:00:00,1.2532,1.25454,1.25084,1.25158,11985
2022-04-28 08:00:00,1.25157,1.25699,1.24914,1.25361,19535
2022-04-28 12:00:00,1.2536,1.25398,1.24215,1.24304,18127
2022-04-28 16:00:00,1.24307,1.24698,1.24115,1.2464,22265
2022-04-28 20:00:00,1.24638,1.24738,1.2447,1.24536,9444
2022-04-29 00:00:00,1.24545,1.24873,1.24475,1.24848,4152
2022-04-29 04:00:00,1.24847,1.24973,1.24656,1.2494,8321
2022-04-29 08:00:00,1.24941,1.25752,1.24938,1.25528,14620
2022-04-29 12:00:00,1.2553,1.25858,1.25321,1.2546,14685
2022-04-29 16:00:00,1.25459,1.25784,1.253,1.25778,19978
2022-04-29 20:00:00,1.25778,1.26146,1.25692,1.25708,10282
2022-05-02 00:00:00,1.25787,1.25973,1.2567,1.25693,7409
2022-05-02 04:00:00,1.25694,1.25769,1.25464,1.25517,10110
2022-05-02 08:00:00,1.25516,1.25877,1.25397,1.25726,13409
2022-05-02 12:00:00,1.25725,1.25807,1.25348,1.25371,10759
2022-05-02 16:00:00,1.25372,1.25496,1.24934,1.24978,16966
2022-05-02 20:00:00,1.24979,1.25006,1.24729,1.24918,9165
2022-05-03 00:00:00,1.24883,1.25211,1.24847,1.25196,4284
2022-05-03 04:00:00,1.25196,1.25414,1.25092,1.25128,6856
2022-05-03 08:00:00,1.25132,1.25556,1.25052,1.25408,16587
2022-05-03 12:00:00,1.25406,1.2567,1.24927,1.25576,14501
2022-05-03 16:00:00,1.25574,1.25662,1.24872,1.24881,18580
2022-05-03 20:00:00,1.2488,1.25146,1.24704,1.2495,12004
2022-05-04 00:00:00,1.24972,1.25058,1.24877,1.24963,4994
2022-05-04 04:00:00,1.24962,1.25006,1.24819,1.24824,5247
2022-05-04 08:00:00,1.24823,1.25247,1.24669,1.25151,10992
2022-05-04 12:00:00,1.25152,1.25362,1.25021,1.25302,11216
2022-05-04 16:00:00,1.25301,1.25373,1.24673,1.24944,17391
2022-05-04 20:00:00,1.24944,1.2638,1.24513,1.26355,25925
2022-05-05 00:00:00,1.26273,1.26342,1.26007,1.26092,9878
2022-05-05 04:00:00,1.26093,1.26331,1.25417,1.25471,9378
2022-05-05 08:00:00,1.25472,1.25682,1.25173,1.25461,15501
2022-05-05 12:00:00,1.2546,1.25782,1.23612,1.23889,20125
2022-05-05 16:00:00,1.23893,1.24125,1.23262,1.23378,22597
2022-05-05 20:00:00,1.23379,1.23693,1.23252,1.23578,15957
2022-05-06 00:00:00,1.2361,1.23804,1.23555,1.2366,7029
2022-05-06 04:00:00,1.23661,1.2374,1.23333,1.23681,12617
2022-05-06 08:00:00,1.23681,1.23681,1.2276,1.234,22229
2022-05-06 12:00:00,1.23401,1.23797,1.23181,1.23229,20951
2022-05-06 16:00:00,1.23223,1.23698,1.23011,1.23571,31622
2022-05-06 20:00:00,1.23572,1.23623,1.23229,1.23361,15324
2022-05-09 00:00:00,1.23483,1.23484,1.23021,1.23038,6125
2022-05-09 04:00:00,1.23038,1.23125,1.22811,1.22835,10475
2022-05-09 08:00:00,1.22833,1.23077,1.2261,1.22704,17108
2022-05-09 12:00:00,1.22702,1.24059,1.22686,1.23896,19719
2022-05-09 16:00:00,1.23896,1.23906,1.23008,1.23479,24541
2022-05-09 20:00:00,1.23474,1.23553,1.23259,1.23294,16674
2022-05-10 00:00:00,1.23309,1.23421,1.23175,1.23306,7458
2022-05-10 04:00:00,1.23305,1.23721,1.23235,1.23656,12973
2022-05-10 08:00:00,1.23656,1.23756,1.23168,1.23375,17796
2022-05-10 12:00:00,1.23374,1.23588,1.23045,1.23189,17147
2022-05-10 16:00:00,1.23185,1.23413,1.22918,1.23097,28001
2022-05-10 20:00:00,1.23098,1.23307,1.23029,1.23159,16250
2022-05-11 00:00:00,1.23129,1.23263,1.23047,1.23171,4948
2022-05-11 04:00:00,1.23174,1.23401,1.2312,1.23357,9102
2022-05-11 08:00:00,1.23357,1.23733,1.23229,1.2373,14507
2022-05-11 12:00:00,1.23726,1.23898,1.22772,1.22875,19472
2022-05-11 16:00:00,1.22874,1.24,1.22826,1.22898,31055
2022-05-11 20:00:00,1.22896,1.22929,1.22374,1.2247,19191
2022-05-12 00:00:00,1.22529,1.22531,1.22249,1.22448,9100
2022-05-12 04:00:00,1.22448,1.22461,1.22069,1.22079,12575
2022-05-12 08:00:00,1.22079,1.22212,1.21796,1.21797,24468
