Datetime,Open,High,Low,Close,Volume
2022-04-26 16:00:00,1.06789,1.06855,1.06419,1.06592,19306
2022-04-26 20:00:00,1.06591,1.06616,1.06359,1.06373,9410
2022-04-27 00:00:00,1.06376,1.0648,1.0635,1.06434,5421
2022-04-27 04:00:00,1.06434,1.06535,1.06339,1.06499,9090
2022-04-27 08:00:00,1.06499,1.06548,1.05854,1.05888,19033
2022-04-27 12:00:00,1.05887,1.06227,1.05454,1.05553,18149
2022-04-27 16:00:00,1.05554,1.05712,1.05146,1.05628,22137
2022-04-27 20:00:00,1.0563,1.05723,1.05536,1.05586,11407
2022-04-28 00:00:00,1.05538,1.05606,1.05308,1.05385,5182
2022-04-28 04:00:00,1.05385,1.05532,1.05089,1.05176,13263
2022-04-28 08:00:00,1.05176,1.05648,1.0482,1.0516,23172
2022-04-28 12:00:00,1.05159,1.05385,1.04714,1.04853,21749
2022-04-28 16:00:00,1.04859,1.05312,1.04817,1.05127,24799
2022-04-28 20:00:00,1.05127,1.05159,1.04971,1.04983,9250
2022-04-29 00:00:00,1.04977,1.05172,1.04912,1.05158,4588
2022-04-29 04:00:00,1.05158,1.05298,1.05051,1.05167,8442
2022-04-29 08:00:00,1.05167,1.05929,1.05166,1.05691,17243
2022-04-29 12:00:00,1.05691,1.05802,1.05097,1.05314,18049
2022-04-29 16:00:00,1.05313,1.05594,1.05185,1.05494,22112
2022-04-29 20:00:00,1.05493,1.05788,1.05418,1.05427,12137
2022-05-02 00:00:00,1.05564,1.05591,1.05267,1.05294,8786
2022-05-02 04:00:00,1.05295,1.05336,1.05168,1.05186,9454
2022-05-02 08:00:00,1.05187,1.05684,1.05102,1.05288,14015
2022-05-02 12:00:00,1.05289,1.05331,1.05086,1.05107,10949
2022-05-02 16:00:00,1.05109,1.05417,1.05025,1.05093,17530
2022-05-02 20:00:00,1.05094,1.05115,1.04903,1.05074,9573
2022-05-03 00:00:00,1.05024,1.05259,1.05019,1.05254,3944
2022-05-03 04:00:00,1.05254,1.05266,1.05017,1.05018,6591
2022-05-03 08:00:00,1.05017,1.0528,1.04944,1.05002,15039
2022-05-03 12:00:00,1.05001,1.05777,1.04923,1.05678,16597
2022-05-03 16:00:00,1.05677,1.05723,1.05118,1.05156,17506
2022-05-03 20:00:00,1.05156,1.05406,1.05125,1.05193,9772
2022-05-04 00:00:00,1.05194,1.05343,1.05186,1.05248,3192
2022-05-04 04:00:00,1.05248,1.05334,1.05141,1.05167,4863
2022-05-04 08:00:00,1.05168,1.05346,1.05062,1.05222,12042
2022-05-04 12:00:00,1.05222,1.05551,1.05148,1.05534,12321
2022-05-04 16:00:00,1.05533,1.05642,1.05247,1.05491,16575
2022-05-04 20:00:00,1.05491,1.06311,1.05107,1.06193,28874
2022-05-05 00:00:00,1.06199,1.06278,1.06039,1.06139,6057
2022-05-05 04:00:00,1.0614,1.0642,1.06098,1.06125,10155
2022-05-05 08:00:00,1.06125,1.06193,1.05819,1.06003,16917
2022-05-05 12:00:00,1.06002,1.06079,1.05459,1.05533,20088
2022-05-05 16:00:00,1.05533,1.05659,1.04928,1.0511,26900
2022-05-05 20:00:00,1.05111,1.0551,1.05023,1.05392,17088
2022-05-06 00:00:00,1.05394,1.05508,1.05336,1.05412,6710
2022-05-06 04:00:00,1.05413,1.05456,1.05158,1.05326,13658
