Datetime,Open,High,Low,Close,Volume
2022-04-26 16:00:00,127.217,127.546,127.026,127.526,20378
2022-04-26 20:00:00,127.527,127.684,127.2,127.208,11075
2022-04-27 00:00:00,127.223,127.627,126.943,127.547,11693
2022-04-27 04:00:00,127.546,127.827,127.36,127.652,15027
2022-04-27 08:00:00,127.653,128.103,127.486,127.966,20649
2022-04-27 12:00:00,127.963,128.197,127.797,128.071,18107
2022-04-27 16:00:00,128.071,128.591,127.912,128.276,20847
2022-04-27 20:00:00,128.276,128.448,128.2,128.424,9810
2022-04-28 00:00:00,128.418,128.846,128.341,128.819,10810
2022-04-28 04:00:00,128.818,129.905,128.623,129.846,20839
2022-04-28 08:00:00,129.846,130.957,129.78,130.927,28079
2022-04-28 12:00:00,130.928,131.013,130.175,130.811,26623
2022-04-28 16:00:00,130.809,131.251,130.58,130.963,24734
2022-04-28 20:00:00,130.964,131.133,130.784,130.841,10488
2022-04-29 00:00:00,130.846,130.958,130.542,130.576,6506
2022-04-29 04:00:00,130.576,130.8,130.367,130.538,11940
2022-04-29 08:00:00,130.537,130.567,129.77,130.105,21018
2022-04-29 12:00:00,130.106,130.497,129.838,130.086,23971
2022-04-29 16:00:00,130.086,130.384,129.379,129.677,24023
2022-04-29 20:00:00,129.676,129.92,129.315,129.85,13068
2022-05-02 00:00:00,129.739,130.299,129.613,130.06,13757
2022-05-02 04:00:00,130.059,130.4,129.953,130.385,13303
2022-05-02 08:00:00,130.385,130.477,129.92,130.044,15411
2022-05-02 12:00:00,130.044,130.157,129.698,130.117,13620
2022-05-02 16:00:00,130.117,130.35,129.952,130.173,17352
2022-05-02 20:00:00,130.175,130.255,130.081,130.184,8053
2022-05-03 00:00:00,130.086,130.216,129.855,129.912,5947
2022-05-03 04:00:00,129.915,130.167,129.898,130.131,7875
2022-05-03 08:00:00,130.131,130.29,130.045,130.116,14215
2022-05-03 12:00:00,130.116,130.187,129.74,129.884,15951
2022-05-03 16:00:00,129.883,130.197,129.697,130.17,17426
2022-05-03 20:00:00,130.17,130.204,130.058,130.141,9084
2022-05-04 00:00:00,130.135,130.204,130.038,130.147,3891
2022-05-04 04:00:00,130.143,130.17,130.074,130.148,4984
2022-05-04 08:00:00,130.148,130.186,129.978,130.048,10772
2022-05-04 12:00:00,130.048,130.096,129.789,129.874,11062
2022-05-04 16:00:00,129.877,130.128,129.801,130.005,15983
2022-05-04 20:00:00,130.005,130.381,128.625,129.052,28655
2022-05-05 00:00:00,129.047,129.552,129.047,129.098,11521
2022-05-05 04:00:00,129.097,129.286,128.752,129.259,12755
2022-05-05 08:00:00,129.264,129.826,129.238,129.699,18698
2022-05-05 12:00:00,129.7,130.004,129.536,129.904,20970
2022-05-05 16:00:00,129.901,130.557,129.859,130.417,25751
2022-05-05 20:00:00,130.418,130.546,129.983,130.186,16252
2022-05-06 00:00:00,130.2,130.537,130.094,130.481,10080
2022-05-06 04:00:00,130.479,130.806,130.363,130.564,15336
2022-05-06 08:00:00,130.561,130.695,130.328,130.442,18535
2022-05-06 12:00:00,130.44,130.707,130.143,130.662,17811
2022-05-06 16:00:00,130.664,130.664,130.199,130.428,24207
2022-05-06 20:00:00,130.429,130.635,130.412,130.541,10296
2022-05-09 00:00:00,130.504,130.958,130.456,130.85,9733
2022-05-09 04:00:00,130.849,131.07,130.677,130.998,13000
2022-05-09 08:00:00,130.997,131.349,130.997,131.195,17217
2022-05-09 12:00:00,131.194,131.247,130.489,130.723,18282
2022-05-09 16:00:00,130.723,130.893,130.113,130.296,22098
2022-05-09 20:00:00,130.296,130.438,130.18,130.33,11248
2022-05-10 00:00:00,130.274,130.577,129.946,130.039,13902
2022-05-10 04:00:00,130.039,130.502,129.797,130.469,17557
2022-05-10 08:00:00,130.464,130.553,129.971,130.076,18394
2022-05-10 12:00:00,130.077,130.286,129.862,129.977,17816
2022-05-10 16:00:00,129.977,130.458,129.943,130.248,21306
2022-05-10 20:00:00,130.248,130.458,130.209,130.436,11036
2022-05-11 00:00:00,130.435,130.469,130.227,130.346,9898
2022-05-11 04:00:00,130.346,130.491,130.314,130.342,11009
2022-05-11 08:00:00,130.341,130.391,129.806,129.861,16503
2022-05-11 12:00:00,129.862,130.802,129.587,130.75,19961
2022-05-11 16:00:00,130.75,130.813,129.89,129.933,29368
2022-05-11 20:00:00,129.931,130.065,129.446,129.973,16619
2022-05-12 00:00:00,129.882,130.056,129.508,129.74,13036
2022-05-12 04:00:00,129.74,129.908,129.671,129.784,15372
2022-05-12 08:00:00,129.785,129.799,128.406,128.55,28231
2022-05-12 12:00:00,128.55,128.848,127.967,128.116,26569
2022-05-12 16:00:00,128.116,128.406,127.519,128.404,28760
2022-05-12 20:00:00,128.399,128.458,128.076,128.316,14529
2022-05-13 00:00:00,128.37,128.924,128.274,128.822,15007
2022-05-13 04:00:00,128.821,129.358,128.785,128.946,17253
2022-05-13 08:00:00,128.946,128.982,128.49,128.806,19964
2022-05-13 12:00:00,128.806,129.114,128.738,129.011,16740
2022-05-13 16:00:00,129.013,129.454,128.928,129.372,19868
2022-05-13 20:00:00,129.374,129.432,129.207,129.259,9007
2022-05-16 00:00:00,129.286,129.637,129.213,129.484,8770
2022-05-16 04:00:00,129.483,129.546,128.7,129.014,14159
2022-05-16 08:00:00,129.015,129.471,128.797,129.377,12877
2022-05-16 12:00:00,129.377,129.616,129.168,129.299,13911
2022-05-16 16:00:00,129.3,129.331,128.982,129.048,15713
2022-05-16 20:00:00,129.048,129.404,129.012,129.152,9307
2022-05-17 00:00:00,129.16,129.286,128.829,129.208,9115
2022-05-17 04:00:00,129.202,129.448,129.102,129.392,11191
2022-05-17 08:00:00,129.393,129.56,129.2,129.371,12978
2022-05-17 12:00:00,129.37,129.595,129.186,129.578,16325
2022-05-17 16:00:00,129.578,129.778,129.071,129.357,16848
2022-05-17 20:00:00,129.356,129.47,129.181,129.348,11857
2022-05-18 00:00:00,129.438,129.537,129.226,129.237,9579
2022-05-18 04:00:00,129.246,129.343,128.941,129.095,12806
2022-05-18 08:00:00,129.103,129.348,129.021,129.22,13577
2022-05-18 12:00:00,129.221,129.244,128.866,128.899,12785
2022-05-18 16:00:00,128.9,128.924,128.12,128.337,21139
2022-05-18 20:00:00,128.337,128.339,128.006,128.242,12016
2022-05-19 00:00:00,128.213,128.48,127.895,128.369,15945
2022-05-19 04:00:00,128.373,128.944,128.373,128.834,15093
2022-05-19 08:00:00,128.834,128.887,127.808,127.855,22613
2022-05-19 12:00:00,127.855,127.973,127.09,127.187,22147
2022-05-19 16:00:00,127.187,127.736,127.025,127.602,27390
2022-05-19 20:00:00,127.602,127.839,127.555,127.83,11944
2022-05-20 00:00:00,127.792,127.999,127.651,127.77,10357
2022-05-20 04:00:00,127.768,128.215,127.527,127.764,14487
2022-05-20 08:00:00,127.765,128.108,127.644,128.087,18140
2022-05-20 12:00:00,128.088,128.296,127.728,127.786,16736
2022-05-20 16:00:00,127.786,128.246,127.611,127.702,21231
2022-05-20 20:00:00,127.702,127.931,127.588,127.911,11980
2022-05-23 00:00:00,127.95,128.06,127.637,127.712,8137
2022-05-23 04:00:00,127.712,127.793,127.153,127.43,12806
2022-05-23 08:00:00,127.429,127.93,127.416,127.558,18480
2022-05-23 12:00:00,127.558,127.884,127.362,127.824,15176
2022-05-23 16:00:00,127.826,127.942,127.478,127.847,17825
2022-05-23 20:00:00,127.851,127.944,127.738,127.892,6134
2022-05-24 00:00:00,127.907,127.91,127.63,127.808,8561
2022-05-24 04:00:00,127.808,128.086,127.556,127.657,10668
2022-05-24 08:00:00,127.657,127.744,127.193,127.433,16910
2022-05-24 12:00:00,127.434,127.526,127.087,127.234,15822
2022-05-24 16:00:00,127.236,127.277,126.362,126.569,24711
2022-05-24 20:00:00,126.568,126.898,126.521,126.854,10886
2022-05-25 00:00:00,126.824,126.983,126.652,126.899,8534
2022-05-25 04:00:00,126.899,127.22,126.792,126.948,13891
2022-05-25 08:00:00,126.949,127.297,126.838,127.06,17416
2022-05-25 12:00:00,127.06,127.186,126.799,127.057,15455
2022-05-25 16:00:00,127.057,127.475,127.042,127.466,18970
2022-05-25 20:00:00,127.467,127.496,127.232,127.298,13121
2022-05-26 00:00:00,127.273,127.513,127.12,127.455,10564
2022-05-26 04:00:00,127.455,127.583,127.253,127.358,10632
2022-05-26 08:00:00,127.358,127.443,126.552,126.686,16238
2022-05-26 12:00:00,126.686,127.283,126.568,127.179,17409
2022-05-26 16:00:00,127.179,127.423,127.007,127.36,16244
2022-05-26 20:00:00,127.36,127.373,127.034,127.08,7758
2022-05-27 00:00:00,127.104,127.193,126.905,127.005,10280
2022-05-27 04:00:00,127.004,127.169,126.679,126.817,11023
2022-05-27 08:00:00,126.818,127.198,126.726,127.043,12741
2022-05-27 12:00:00,127.043,127.145,126.83,127.035,16230
2022-05-27 16:00:00,127.037,127.258,126.813,127.14,17418
2022-05-27 20:00:00,127.141,127.168,127.024,127.122,5804
2022-05-30 00:00:00,127.034,127.344,126.964,127.054,6945
2022-05-30 04:00:00,127.054,127.133,126.858,127.001,10477
2022-05-30 08:00:00,127.002,127.387,126.959,127.294,13411
2022-05-30 12:00:00,127.293,127.824,127.249,127.733,12668
2022-05-30 16:00:00,127.73,127.771,127.436,127.544,11736
2022-05-30 20:00:00,127.546,127.616,127.514,127.609,5179
2022-05-31 00:00:00,127.503,128.27,127.503,128.195,10815
2022-05-31 04:00:00,128.198,128.342,127.945,128.007,15389
2022-05-31 08:00:00,128.007,128.073,127.634,127.923,20901
2022-05-31 12:00:00,127.924,128.674,127.84,128.66,20894
2022-05-31 16:00:00,128.661,128.89,128.466,128.55,24187
2022-05-31 20:00:00,128.55,128.777,128.466,128.705,11592
2022-06-01 00:00:00,128.65,128.955,128.645,128.917,8527
2022-06-01 04:00:00,128.917,129.252,128.87,129.226,14337
2022-06-01 08:00:00,129.226,129.544,129.154,129.481,18578
2022-06-01 12:00:00,129.48,129.616,129.288,129.327,16503
2022-06-01 16:00:00,129.327,130.136,129.206,130.131,23931
2022-06-01 20:00:00,130.132,130.188,130.058,130.16,10777
2022-06-02 00:00:00,130.12,130.241,129.885,130.04,12872
2022-06-02 04:00:00,130.041,130.142,129.892,130.055,11487
2022-06-02 08:00:00,130.057,130.09,129.767,129.892,13147
2022-06-02 12:00:00,129.892,129.908,129.512,129.644,17028
2022-06-02 16:00:00,129.644,130.04,129.633,129.781,20264
2022-06-02 20:00:00,129.782,129.902,129.772,129.9,8722
2022-06-03 00:00:00,129.831,130.04,129.698,129.755,8532
2022-06-03 04:00:00,129.754,129.894,129.683,129.848,10601
2022-06-03 08:00:00,129.848,130.054,129.8,129.972,11055
2022-06-03 12:00:00,129.971,130.65,129.969,130.497,17381
2022-06-03 16:00:00,130.495,130.98,130.392,130.81,19475
2022-06-03 20:00:00,130.809,130.921,130.8,130.826,8138
2022-06-06 00:00:00,130.915,130.992,130.662,130.829,10552
2022-06-06 04:00:00,130.834,130.834,130.43,130.661,14875
2022-06-06 08:00:00,130.661,130.83,130.468,130.752,17544
2022-06-06 12:00:00,130.753,130.866,130.616,130.792,12386
2022-06-06 16:00:00,130.79,131.684,130.781,131.672,18395
2022-06-06 20:00:00,131.673,132.011,131.672,131.89,9547
2022-06-07 00:00:00,131.866,132.336,131.862,132.223,11743
2022-06-07 04:00:00,132.23,132.948,132.227,132.945,18659
2022-06-07 08:00:00,132.945,133.001,132.545,132.746,22872
2022-06-07 12:00:00,132.747,132.896,132.556,132.794,18058
2022-06-07 16:00:00,132.794,132.855,132.318,132.589,20757
2022-06-07 20:00:00,132.589,132.672,132.473,132.631,10136
2022-06-08 00:00:00,132.598,133.116,132.578,133.071,8967
2022-06-08 04:00:00,133.072,133.298,132.884,133.254,16156
2022-06-08 08:00:00,133.251,133.866,132.938,133.84,22499
2022-06-08 12:00:00,133.837,134.475,133.675,134.293,23826
2022-06-08 16:00:00,134.295,134.349,133.605,134.056,25934
2022-06-08 20:00:00,134.055,134.3,133.954,134.26,12165
2022-06-09 00:00:00,134.254,134.557,134.155,134.274,11900
2022-06-09 04:00:00,134.275,134.467,133.825,134.174,16666
2022-06-09 08:00:00,134.175,134.175,133.384,133.642,23493
2022-06-09 12:00:00,133.643,134.019,133.184,133.787,25572
2022-06-09 16:00:00,133.785,134.311,133.603,134.156,28263
2022-06-09 20:00:00,134.158,134.446,134.031,134.372,12255
2022-06-10 00:00:00,134.346,134.477,133.965,134.006,11227
2022-06-10 04:00:00,134.006,134.282,133.916,134.205,14992
2022-06-10 08:00:00,134.205,134.212,133.365,133.859,22729
2022-06-10 12:00:00,133.859,134.392,133.521,133.956,21895
2022-06-10 16:00:00,133.957,134.332,133.758,134.311,27636
2022-06-10 20:00:00,134.311,134.481,134.218,134.345,12289
2022-06-13 00:00:00,134.319,134.996,134.316,134.964,13805
2022-06-13 04:00:00,134.961,135.197,134.681,135.022,19071
2022-06-13 08:00:00,135.024,135.134,134.138,134.336,28351
2022-06-13 12:00:00,134.336,134.701,133.871,134.044,24982
2022-06-13 16:00:00,134.047,134.275,133.593,134.19,28540
2022-06-13 20:00:00,134.187,134.667,133.942,134.41,19639
2022-06-14 00:00:00,134.416,134.524,133.873,134.154,13699
2022-06-14 04:00:00,134.156,134.818,134.081,134.6,24993
2022-06-14 08:00:00,134.601,134.784,134.016,134.185,27638
2022-06-14 12:00:00,134.184,134.608,134.102,134.582,25802
2022-06-14 16:00:00,134.582,135.004,134.248,134.981,27121
2022-06-14 20:00:00,134.981,135.463,134.745,135.461,17503
2022-06-15 00:00:00,135.465,135.592,134.874,135.021,13592
2022-06-15 04:00:00,135.021,135.297,134.989,135.072,17714
2022-06-15 08:00:00,135.072,135.113,134.491,134.529,29726
2022-06-15 12:00:00,134.528,134.811,134.298,134.701,27214
2022-06-15 16:00:00,134.7,134.834,134.396,134.48,21219
2022-06-15 20:00:00,134.479,134.955,133.505,133.828,28318
2022-06-16 00:00:00,133.86,134.294,133.684,134.249,15523
2022-06-16 04:00:00,134.246,134.679,134.22,134.412,16860
2022-06-16 08:00:00,134.412,134.645,133.119,133.224,27289
2022-06-16 12:00:00,133.218,133.39,132.319,132.792,35159
2022-06-16 16:00:00,132.792,132.902,131.493,131.816,32709
2022-06-16 20:00:00,131.816,132.284,131.749,132.24,18714
2022-06-17 00:00:00,132.204,133.295,132.172,133.22,18073
2022-06-17 04:00:00,133.217,134.642,132.313,133.84,30092
2022-06-17 08:00:00,133.833,134.604,133.792,134.52,29139
2022-06-17 12:00:00,134.519,134.918,134.267,134.581,26198
2022-06-17 16:00:00,134.581,135.425,134.434,135.139,28255
2022-06-17 20:00:00,135.14,135.14,134.855,134.946,12170
2022-06-20 00:00:00,134.966,135.44,134.918,135.177,16245
2022-06-20 04:00:00,135.182,135.274,134.668,134.953,24636
2022-06-20 08:00:00,134.953,135.102,134.535,134.764,23926
2022-06-20 12:00:00,134.763,134.985,134.663,134.938,17551
2022-06-20 16:00:00,134.941,135.149,134.868,135.057,16276
2022-06-20 20:00:00,135.058,135.143,135.018,135.105,4147
2022-06-21 00:00:00,135.022,135.215,134.923,135.1,14915
2022-06-21 04:00:00,135.098,135.184,134.969,135.121,18707
2022-06-21 08:00:00,135.12,135.502,135.012,135.308,20965
2022-06-21 12:00:00,135.306,136.337,135.249,136.232,22912
2022-06-21 16:00:00,136.233,136.396,136.021,136.388,22991
2022-06-21 20:00:00,136.388,136.706,136.355,136.659,11654
2022-06-22 00:00:00,136.658,136.708,136.243,136.418,16033
2022-06-22 04:00:00,136.422,136.422,136.05,136.224,21163
2022-06-22 08:00:00,136.217,136.625,136.117,136.253,24858
2022-06-22 12:00:00,136.253,136.304,135.747,135.799,26576
2022-06-22 16:00:00,135.8,136.239,135.684,136.236,28588
2022-06-22 20:00:00,136.236,136.302,136.103,136.228,11935
2022-06-23 00:00:00,136.26,136.26,135.872,136.074,18465
2022-06-23 04:00:00,136.073,136.075,135.127,135.435,25624
2022-06-23 08:00:00,135.436,135.877,135.302,135.436,28563
2022-06-23 12:00:00,135.436,135.646,134.876,134.954,25650
2022-06-23 16:00:00,134.96,134.992,134.262,134.769,34237
2022-06-23 20:00:00,134.768,134.994,134.684,134.964,15770
2022-06-24 00:00:00,134.94,135.227,134.653,135.114,14342
2022-06-24 04:00:00,135.113,135.138,134.548,134.795,19623
2022-06-24 08:00:00,134.794,134.987,134.35,134.913,25640
2022-06-24 12:00:00,134.914,135.298,134.813,135.133,23801
2022-06-24 16:00:00,135.129,135.275,134.716,135.164,28076
2022-06-24 20:00:00,135.162,135.398,135.123,135.209,11555
2022-06-27 00:00:00,135.15,135.219,134.593,134.632,12873
2022-06-27 04:00:00,134.632,134.931,134.52,134.698,20069
2022-06-27 08:00:00,134.698,135.173,134.664,134.974,21075
2022-06-27 12:00:00,134.974,135.549,134.953,135.418,22014
2022-06-27 16:00:00,135.418,135.457,135.012,135.355,24886
2022-06-27 20:00:00,135.355,135.491,135.316,135.471,12735
2022-06-28 00:00:00,135.445,135.592,135.296,135.442,10555
2022-06-28 04:00:00,135.443,135.497,135.112,135.343,17048
2022-06-28 08:00:00,135.343,135.838,135.292,135.682,22863
2022-06-28 12:00:00,135.681,136.323,135.679,136.273,22886
2022-06-28 16:00:00,136.272,136.314,136.049,136.2,23344
2022-06-28 20:00:00,136.199,136.384,136.111,136.166,14066
2022-06-29 00:00:00,136.112,136.219,135.945,135.999,12142
2022-06-29 04:00:00,135.999,136.275,135.894,136.045,19309
2022-06-29 08:00:00,136.045,136.225,135.787,136.179,25686
2022-06-29 12:00:00,136.179,136.616,136.121,136.573,23714
2022-06-29 16:00:00,136.572,137.004,136.341,136.596,27379
2022-06-29 20:00:00,136.595,136.674,136.479,136.596,13567
2022-06-30 00:00:00,136.579,136.809,136.465,136.587,14746
2022-06-30 04:00:00,136.594,136.689,136.493,136.512,15740
2022-06-30 08:00:00,136.511,136.54,135.963,136.234,22938
2022-06-30 12:00:00,136.234,136.442,135.98,136.145,20537
2022-06-30 16:00:00,136.143,136.204,135.568,135.67,24471
2022-06-30 20:00:00,135.67,135.768,135.552,135.728,12950
2022-07-01 00:00:00,135.716,135.985,135.692,135.956,9898
2022-07-01 04:00:00,135.956,135.957,134.983,135.085,22089
2022-07-01 08:00:00,135.089,135.677,134.744,135.505,24414
2022-07-01 12:00:00,135.505,135.668,135.038,135.274,23540
2022-07-01 16:00:00,135.274,135.553,134.79,135.278,29616
2022-07-01 20:00:00,135.279,135.398,135.169,135.248,9770
2022-07-04 00:00:00,135.255,135.316,134.873,134.918,11038
2022-07-04 04:00:00,134.916,135.176,134.78,135.119,17653
2022-07-04 08:00:00,135.119,135.523,135.111,135.332,18362
2022-07-04 12:00:00,135.332,135.544,135.26,135.405,13063
2022-07-04 16:00:00,135.403,135.774,135.392,135.699,12359
2022-07-04 20:00:00,135.699,135.727,135.664,135.674,4126
2022-07-05 00:00:00,135.593,136.147,135.569,136.047,13110
2022-07-05 04:00:00,136.046,136.36,135.98,136.247,15519
2022-07-05 08:00:00,136.248,136.325,135.553,135.844,21828
2022-07-05 12:00:00,135.844,136.204,135.554,135.845,25109
2022-07-05 16:00:00,135.847,136.111,135.524,135.741,27561
2022-07-05 20:00:00,135.741,135.917,135.627,135.89,12074
2022-07-06 00:00:00,135.686,135.879,135.421,135.654,12474
2022-07-06 04:00:00,135.654,135.662,135.127,135.333,19013
2022-07-06 08:00:00,135.334,135.696,135.022,135.21,24685
2022-07-06 12:00:00,135.209,135.5,134.951,135.15,23792
2022-07-06 16:00:00,135.149,136.006,134.963,135.747,28534
2022-07-06 20:00:00,135.747,136.002,135.558,135.925,16321
2022-07-07 00:00:00,135.91,136.126,135.75,135.764,11359
2022-07-07 04:00:00,135.766,135.825,135.548,135.68,17447
2022-07-07 08:00:00,135.68,136.222,135.671,136.131,22876
2022-07-07 12:00:00,136.126,136.212,135.564,135.907,21877
2022-07-07 16:00:00,135.905,136.044,135.672,136.034,17681
2022-07-07 20:00:00,136.036,136.108,135.976,135.988,6868
2022-07-08 00:00:00,136.006,136.147,135.89,135.954,8307
2022-07-08 04:00:00,135.954,136.078,135.327,135.474,24852
2022-07-08 08:00:00,135.472,135.902,135.44,135.732,24443
2022-07-08 12:00:00,135.732,136.566,135.678,136.422,23050
2022-07-08 16:00:00,136.417,136.514,135.868,136.168,24117
2022-07-08 20:00:00,136.17,136.197,136.04,136.088,8982
2022-07-11 00:00:00,136.007,136.482,135.961,136.457,9353
2022-07-11 04:00:00,136.455,137.278,136.439,136.989,20768
2022-07-11 08:00:00,136.99,137.157,136.709,136.972,21072
2022-07-11 12:00:00,136.972,137.689,136.944,137.59,19410
